idMunicipio;municipio;idDepartamento
1;El Encanto;91
2;La Chorrera;91
3;La Pedrera;91
4;La Victoria;91
5;Leticia;91
6;Miriti - Paraná;91
7;Puerto Alegria;91
8;Puerto Arica;91
9;Puerto Nariño;91
10;Puerto Santander;91
11;Tarapacá;91
12;Cáceres;05
13;Caucasia;05
14;El Bagre;05
15;Nechí;05
16;Tarazá;05
17;Zaragoza;05
18;Caracolí;05
19;Maceo;05
20;Puerto Berrio;05
21;Puerto Nare;05
22;Puerto Triunfo;05
23;Yondó;05
24;Amalfi;05
25;Anorí;05
26;Cisneros;05
27;Remedios;05
28;San Roque;05
29;Santo Domingo;05
30;Segovia;05
31;Vegachí;05
32;Yalí;05
33;Yolombó;05
34;Angostura;05
35;Belmira;05
36;Briceño;05
37;Campamento;05
38;Carolina;05
39;Don Matias;05
40;Entrerrios;05
41;Gómez Plata;05
42;Guadalupe;05
43;Ituango;05
44;San Andrés;05
45;San José De La Montaña;05
46;San Pedro;05
47;Santa Rosa De Osos;05
48;Toledo;05
49;Valdivia;05
50;Yarumal;05
51;Abriaquí;05
52;Anza;05
53;Armenia;05
54;Buriticá;05
55;Cañasgordas;05
56;Dabeiba;05
57;Ebéjico;05
58;Frontino;05
59;Giraldo;05
60;Heliconia;05
61;Liborina;05
62;Olaya;05
63;Peque;05
64;Sabanalarga;05
65;San Jerónimo;05
66;Santafé De Antioquia;05
67;Sopetran;05
68;Uramita;05
69;Abejorral;05
70;Alejandría;05
71;Argelia;05
72;Carmen De Viboral;05
73;Cocorná;05
74;Concepción;05
75;Granada;05
76;Guarne;05
77;Guatape;05
78;La Ceja;05
79;La Unión;05
80;Marinilla;05
81;Nariño;05
82;Peñol;05
83;Retiro;05
84;Rionegro;05
85;San Carlos;05
86;San Francisco;05
87;San Luis;05
88;San Rafael;05
89;San Vicente;05
90;Santuario;05
91;Sonson;05
92;Amaga;05
93;Andes;05
94;Angelopolis;05
95;Betania;05
96;Betulia;05
97;Caicedo;05
98;Caramanta;05
99;Ciudad Bolívar;05
100;Concordia;05
101;Fredonia;05
102;Hispania;05
103;Jardín;05
104;Jericó;05
105;La Pintada;05
106;Montebello;05
107;Pueblorrico;05
108;Salgar;05
109;Santa Barbara;05
110;Támesis;05
111;Tarso;05
112;Titiribí;05
113;Urrao;05
114;Valparaiso;05
115;Venecia;05
116;Apartadó;05
117;Arboletes;05
118;Carepa;05
119;Chigorodó;05
120;Murindó;05
121;Mutata;05
122;Necoclí;05
123;San Juan De Uraba;05
124;San Pedro De Uraba;05
125;Turbo;05
126;Vigía Del Fuerte;05
127;Barbosa;05
128;Bello;05
129;Caldas;05
130;Copacabana;05
131;Envigado;05
132;Girardota;05
133;Itagui;05
134;La Estrella;05
135;Medellín;05
136;Sabaneta;05
137;Arauca;81
138;Arauquita;81
139;Cravo Norte;81
140;Fortul;81
141;Puerto Rondón;81
142;Saravena;81
143;Tame;81
144;Providencia Y Santa Catalina;88
145;San Andres;88
146;Barranquilla;08
147;Galapa;08
148;Malambo;08
149;Puerto Colombia;08
150;Soledad;08
151;Campo De La Cruz;08
152;Candelaria;08
153;Luruaco;08
154;Manati;08
155;Repelon;08
156;Santa Lucia;08
157;Suan;08
158;Baranoa;08
159;Palmar De Varela;08
160;Polonuevo;08
161;Ponedera;08
162;Sabanagrande;08
163;Sabanalarga;08
164;Santo Tomas;08
165;Juan De Acosta;08
166;Piojó;08
167;Tubara;08
168;Usiacuri;08
169;Bogota D.C.;11
170;Cicuco;13
171;Hatillo De Loba;13
172;Margarita;13
173;Mompós;13
174;San Fernando;13
175;Talaigua Nuevo;13
176;Arjona;13
177;Arroyohondo;13
178;Calamar;13
179;Cartagena;13
180;Clemencia;13
